delta_t,threshold,cluster_id,best_t_days,mean_bmi,group_name
26,0.03900000000000001,0,161,44.343701177,群组7
26,0.03900000000000001,1,133,30.83436199041856,群组3
26,0.03900000000000001,2,138,35.10079343899152,群组5
26,0.03900000000000001,3,121,29.0050345231067,群组2
26,0.03900000000000001,4,131,32.88320441884776,群组4
26,0.03900000000000001,5,163,38.321496709430576,群组6
26,0.03900000000000001,6,70,20.703125,群组1
26,0.04000000000000001,0,161,44.343701177,群组7
26,0.04000000000000001,1,136,30.83436199041856,群组3
26,0.04000000000000001,2,141,35.10079343899152,群组5
26,0.04000000000000001,3,124,29.0050345231067,群组2
26,0.04000000000000001,4,136,32.88320441884776,群组4
26,0.04000000000000001,5,163,38.321496709430576,群组6
26,0.04000000000000001,6,70,20.703125,群组1
26,0.04100000000000001,0,162,44.343701177,群组7
26,0.04100000000000001,1,140,30.83436199041856,群组3
26,0.04100000000000001,2,143,35.10079343899152,群组5
26,0.04100000000000001,3,127,29.0050345231067,群组2
26,0.04100000000000001,4,141,32.88320441884776,群组4
26,0.04100000000000001,5,163,38.321496709430576,群组6
26,0.04100000000000001,6,70,20.703125,群组1
26,0.04200000000000001,0,163,44.343701177,群组7
26,0.04200000000000001,1,142,30.83436199041856,群组3
26,0.04200000000000001,2,146,35.10079343899152,群组5
26,0.04200000000000001,3,130,29.0050345231067,群组2
26,0.04200000000000001,4,145,32.88320441884776,群组4
26,0.04200000000000001,5,163,38.321496709430576,群组6
26,0.04200000000000001,6,70,20.703125,群组1
26,0.04300000000000001,0,163,44.343701177,群组7
26,0.04300000000000001,1,145,30.83436199041856,群组3
26,0.04300000000000001,2,148,35.10079343899152,群组5
26,0.04300000000000001,3,134,29.0050345231067,群组2
26,0.04300000000000001,4,147,32.88320441884776,群组4
26,0.04300000000000001,5,163,38.321496709430576,群组6
26,0.04300000000000001,6,72,20.703125,群组1
26,0.04400000000000001,0,163,44.343701177,群组7
26,0.04400000000000001,1,147,30.83436199041856,群组3
26,0.04400000000000001,2,150,35.10079343899152,群组5
26,0.04400000000000001,3,137,29.0050345231067,群组2
26,0.04400000000000001,4,150,32.88320441884776,群组4
26,0.04400000000000001,5,163,38.321496709430576,群组6
26,0.04400000000000001,6,73,20.703125,群组1
26,0.04500000000000001,0,163,44.343701177,群组7
